epoch,acc,loss,val_acc,val_loss
0,0.6692392,0.629091135,0.8875,0.324902219
1,0.9040794,0.281137539,1,0.071973777
2,0.98676956,0.04982686,0.96875,0.116268593
3,0.9966924,0.020377061,1,0.001182889
4,0.9845645,0.089970139,1,0.008467597
5,0.97684675,0.085124873,1,0.009671627
6,0.9988975,0.005056941,1,2.27E-05
7,1,0.001618318,1,2.98E-06
8,0.9967672,0.012390372,1,0.000977082
9,1,0.001192454,1,0.000232286
10,0.996614,0.014915277,1,0.001226862
11,1,0.001235732,1,0.000265188
12,0.9988975,0.006654344,1,0.000264165
13,0.9989224,0.002235269,1,0.000459576
14,0.99774265,0.007446711,1,0.000624329
15,1,0.000798661,1,0.000182099
16,1,0.000363575,1,0.000103177
17,0.9988975,0.002104263,1,0.000215864
18,0.9933848,0.019945077,0.99375,0.015585396
19,0.9988975,0.006423359,1,3.09E-05
20,1,0.000101347,1,2.37E-05
21,1,0.000139815,1,2.96E-05
22,1,0.000136223,1,3.19E-05
23,1,7.09E-05,1,3.09E-05
24,1,3.78E-05,1,2.50E-05
25,1,3.33E-05,1,2.13E-05
26,1,0.000186313,1,1.66E-05
27,1,6.51E-05,1,1.62E-05
28,1,1.95E-05,1,1.46E-05
29,1,1.82E-05,1,1.28E-05
30,0.9988975,0.01069012,1,0.00023849
31,1,0.00030585,1,7.91E-05
32,1,0.000107366,1,6.06E-05
33,1,7.54E-05,1,4.28E-05
34,1,6.76E-05,1,3.52E-05
35,0.9966924,0.008378015,1,0.000278998
36,1,0.000352888,1,0.000160303
37,0.9989224,0.002418093,1,9.29E-05
38,0.9988713,0.004877166,1,0.000982985
39,1,0.000362459,1,4.79E-05
40,0.989842,0.039974331,1,0.005250996
41,0.9967672,0.017884416,1,0.00177484
42,0.9988713,0.008451912,1,0.000327351
43,1,0.001171633,1,0.000113695
44,1,0.000113308,1,5.78E-05
45,1,0.000331159,1,4.07E-05
46,1,5.52E-05,1,2.22E-05
47,1,7.52E-05,1,1.89E-05
48,1,7.19E-05,1,1.72E-05
49,1,3.06E-05,1,1.61E-05
50,1,9.27E-05,1,1.73E-05
51,1,3.70E-05,1,1.73E-05
52,0.9967672,0.023274775,1,0.000395906
53,1,0.000168209,1,1.92E-05
54,0.9977949,0.023186473,1,0.008765637
55,1,0.001981837,1,5.14E-08
56,0.9658214,0.150910175,0.975,0.130214976
57,0.9977949,0.028461367,1,3.08E-06
58,1,0.000171132,1,3.94E-06
59,0.9988975,0.006283658,0.98125,0.04343121
60,0.9966924,0.020769398,0.9875,0.022789755
